question,answer1,answer2,neg_risk,spread,best_bid,best_ask,rewards_daily_rate,bid_reward_per_100,ask_reward_per_100,gm_reward_per_100,sm_reward_per_100,min_size,max_spread,tick_size,market_slug,token1,token2,condition_id
Will Trump sign the Epstein Disclosure Bill on November 19?,Yes,No,TRUE,0.01,0.48,0.49,1200,165.06,85.6,118.87,125.33,200,4.5,0.01,will-trump-sign-the-epstein-disclosure-bill-on-november-19,7304103206122338981036231252148418347223866287317995541443362309144858168476,55576471032399305381302238637319486628053926259786213533264346369033414565194,0x2e956c939e0bee2fc22ccea7f3122635ef6a829747a9c16207fcdd594c694dc9
Fed decreases interest rates by 25 bps after December 2025 meeting?,Yes,No,TRUE,0.01,0.53,0.54,500,0.21,0.53,0.33,0.37,200,3.5,0.01,fed-decreases-interest-rates-by-25-bps-after-december-2025-meeting,87769991026114894163580777793845523168226980076553814689875238288185044414090,13411284055273560855537595688801764123705139415061660246624128667183605973730,0xcb111226a8271fed0c71bb5ec1bd67b2a4fd72f1eb08466e2180b9efa99d3f32
Will Trump sign the Epstein Disclosure Bill on November 20?,Yes,No,TRUE,0.03,0.32,0.35,500,38.51,30.51,34.28,34.51,200,4.5,0.01,will-trump-sign-the-epstein-disclosure-bill-on-november-20,91468771724914882057968579450321215934958415924322181006716330623974140897720,68851424528003346770819109732503426551041516288141341404568941066215961321720,0x5ca7f7c40e5dbce4b00c5bd586f18445a3f8ef3efd7150a7e725e60df64d51ac
US x Venezuela military engagement by November 30?,Yes,No,FALSE,0.01,0.11,0.12,300,2.27,29.17,8.14,15.72,200,3.5,0.01,us-x-venezuela-military-engagement-by-november-30-216-397-226-467-735-374-192-441,52495530769657433426315073623394145992266323233191674488787593449327803900186,52365552199401369443408259986324629171792690921627298943075194906042228248932,0xbea5d5174cb5355eaf0f8cee780e67d0b22a6ff614ef7ec82cc2fe6ce8f4b111
Will Trump sign the Epstein Disclosure Bill on November 24?,Yes,No,TRUE,0.007,0.005,0.012,300,50.45,18.51,30.56,34.48,200,4.5,0.001,will-trump-sign-the-epstein-disclosure-bill-on-november-24,59742011069602199204176949665334728364748976004347369986827274134464283768198,6868086229967776395367896908184994239330341745018508670186300522717477755249,0x67b250aedf9602a985ff6f47124a558412c0ea00646115234d3d795399406277
Will Trump release the Epstein files by November 30?,Yes,No,FALSE,0.01,0.24,0.25,300,21.09,19.53,20.3,20.31,200,4.5,0.01,will-trump-release-the-epstein-files-by-november-30,10140294754334295812883636430852874207041625887079511684262977351428880248568,50218526944056079570845990374922792664874570178782199902514813785256856589212,0x581ea2e0e1b796f217f7d72e8517592c2f02de25139bb75b83c4580ffed339e7
No change in Fed interest rates after December 2025 meeting?,Yes,No,TRUE,0.01,0.44,0.45,300,0.79,0.56,0.67,0.68,200,3.5,0.01,no-change-in-fed-interest-rates-after-december-2025-meeting,80746058984644290629624903019922696017323803605256698757445938534814122585786,85970682092909806158465981896969493051954703765750954325716965011253694472992,0x58f4542341fcc66a2197877b7487ebe901b689ec42bcdbb0a070f5536d91459e
Will Trump release the Epstein files by December 31?,Yes,No,FALSE,0.01,0.78,0.79,300,1.97,3.09,2.47,2.53,200,4.5,0.01,will-trump-release-the-epstein-files-by-december-31,98861221941952098410661779464520326542627371393679468645396942578853799448969,1590293477094050907486207079346730658466569083582527022110944767563122184311,0x4048fed324ac27f378ce44da1b12f0d338c8340ef82962989f38eea05409baab
Will Trump sign the Epstein Disclosure Bill on November 21?,Yes,No,TRUE,0.004,0.058,0.062,300,9.08,14.23,11.37,11.66,200,4.5,0.001,will-trump-sign-the-epstein-disclosure-bill-on-november-21,30272538049445048171430549942670561541744529626772651389312030494296986928702,87811706314068842776549879613705356031556619945648509184121988907781406181417,0xccb6911ed30782af471547b7856219bc932661daa436b57564c8d37953f07d17
Will the Monad public sale commitments be between $600M and $800M?,Yes,No,TRUE,0.01,0.14,0.15,250,31.29,12.24,19.57,21.76,100,4.5,0.01,will-the-monad-public-sale-commitments-be-between-600m-and-800m,34561663125871879558737177078601217916116640973081055527816391703727451065794,59222647124019003385309425894078503144896541860771146891423355059419963724124,0xfe5d444330095bc8891c56e4dc72ce49c67e73c32f1cc5a9cf530407b2efd9c7
